"Zeit";"Vertreter";"Buch";"Stück"
5.11.2009 00:00:00;3;1;10
12.11.2009 00:00:00;3;1;13
19.11.2009 00:00:00;3;1;14
26.11.2009 00:00:00;3;1;11
3.12.2009 00:00:00;3;1;9
10.12.2009 00:00:00;3;1;11
17.12.2009 00:00:00;3;1;8
24.12.2009 00:00:00;3;1;8
31.12.2009 00:00:00;3;1;7
7.1.2010 00:00:00;3;1;6
14.1.2010 00:00:00;3;1;7
21.1.2010 00:00:00;3;1;5
28.1.2010 00:00:00;3;1;5
4.2.2010 00:00:00;3;1;4
11.2.2010 00:00:00;3;1;5
18.2.2010 00:00:00;3;1;3
25.2.2010 00:00:00;3;1;4
4.3.2010 00:00:00;3;1;3
11.3.2010 00:00:00;3;1;2
18.3.2010 00:00:00;3;1;3
25.3.2010 00:00:00;3;1;2
1.4.2010 00:00:00;3;1;2
8.4.2010 00:00:00;3;1;2
15.4.2010 00:00:00;3;1;1
22.4.2010 00:00:00;3;1;1
29.4.2010 00:00:00;3;1;1
6.5.2010 00:00:00;3;1;1
13.5.2010 00:00:00;3;1;1
20.5.2010 00:00:00;3;1;1
27.5.2010 00:00:00;3;1;1
3.6.2010 00:00:00;3;1;1
10.6.2010 00:00:00;3;1;1
17.6.2010 00:00:00;3;1;1
24.6.2010 00:00:00;3;1;1
1.7.2010 00:00:00;3;1;1
8.7.2010 00:00:00;3;1;0
15.7.2010 00:00:00;3;1;0
22.7.2010 00:00:00;3;1;0
29.7.2010 00:00:00;3;1;0
5.8.2010 00:00:00;3;1;0
12.8.2010 00:00:00;3;1;0
19.8.2010 00:00:00;3;1;0
26.8.2010 00:00:00;3;1;0
2.9.2010 00:00:00;3;1;0
9.9.2010 00:00:00;3;1;0
16.9.2010 00:00:00;3;1;0
23.9.2010 00:00:00;3;1;0
30.9.2010 00:00:00;3;1;0
7.10.2010 00:00:00;3;1;0
14.10.2010 00:00:00;3;1;0
21.10.2010 00:00:00;3;1;0
28.10.2010 00:00:00;3;1;0
4.11.2010 00:00:00;3;1;0
11.11.2010 00:00:00;3;1;0
18.11.2010 00:00:00;3;1;0
25.11.2010 00:00:00;3;1;0
2.12.2010 00:00:00;3;1;0
9.12.2010 00:00:00;3;1;0
16.12.2010 00:00:00;3;1;0
23.12.2010 00:00:00;3;1;0
30.12.2010 00:00:00;3;1;0
7.5.2009 00:00:00;4;1;33
14.5.2009 00:00:00;4;1;29
21.5.2009 00:00:00;4;1;33
28.5.2009 00:00:00;4;1;31
4.6.2009 00:00:00;4;1;23
11.6.2009 00:00:00;4;1;19
18.6.2009 00:00:00;4;1;18
25.6.2009 00:00:00;4;1;21
2.7.2009 00:00:00;4;1;21
9.7.2009 00:00:00;4;1;20
16.7.2009 00:00:00;4;1;22
23.7.2009 00:00:00;4;1;18
30.7.2009 00:00:00;4;1;19
6.8.2009 00:00:00;4;1;17
13.8.2009 00:00:00;4;1;22
20.8.2009 00:00:00;4;1;17
27.8.2009 00:00:00;4;1;15
3.9.2009 00:00:00;4;1;19
10.9.2009 00:00:00;4;1;18
17.9.2009 00:00:00;4;1;15
24.9.2009 00:00:00;4;1;18
1.10.2009 00:00:00;4;1;18
8.10.2009 00:00:00;4;1;18
15.10.2009 00:00:00;4;1;13
22.10.2009 00:00:00;4;1;14
29.10.2009 00:00:00;4;1;16
5.11.2009 00:00:00;4;1;15
12.11.2009 00:00:00;4;1;12
19.11.2009 00:00:00;4;1;14
26.11.2009 00:00:00;4;1;12
3.12.2009 00:00:00;4;1;11
10.12.2009 00:00:00;4;1;11
17.12.2009 00:00:00;4;1;10
24.12.2009 00:00:00;4;1;9
31.12.2009 00:00:00;4;1;6
7.1.2010 00:00:00;4;1;7
14.1.2010 00:00:00;4;1;6
21.1.2010 00:00:00;4;1;6
28.1.2010 00:00:00;4;1;6
4.2.2010 00:00:00;4;1;5
11.2.2010 00:00:00;4;1;4
18.2.2010 00:00:00;4;1;4
25.2.2010 00:00:00;4;1;4
4.3.2010 00:00:00;4;1;3
11.3.2010 00:00:00;4;1;2
18.3.2010 00:00:00;4;1;2
25.3.2010 00:00:00;4;1;2
1.4.2010 00:00:00;4;1;2
8.4.2010 00:00:00;4;1;2
15.4.2010 00:00:00;4;1;2
22.4.2010 00:00:00;4;1;2
29.4.2010 00:00:00;4;1;1
6.5.2010 00:00:00;4;1;1
13.5.2010 00:00:00;4;1;1
20.5.2010 00:00:00;4;1;1
27.5.2010 00:00:00;4;1;1
3.6.2010 00:00:00;4;1;1
10.6.2010 00:00:00;4;1;1
17.6.2010 00:00:00;4;1;1
24.6.2010 00:00:00;4;1;1
1.7.2010 00:00:00;4;1;1
8.7.2010 00:00:00;4;1;1
15.7.2010 00:00:00;4;1;1
22.7.2010 00:00:00;4;1;0
29.7.2010 00:00:00;4;1;0
5.8.2010 00:00:00;4;1;0
12.8.2010 00:00:00;4;1;0
19.8.2010 00:00:00;4;1;0
26.8.2010 00:00:00;4;1;0
2.9.2010 00:00:00;4;1;0
9.9.2010 00:00:00;4;1;0
16.9.2010 00:00:00;4;1;0
23.9.2010 00:00:00;4;1;0
30.9.2010 00:00:00;4;1;0
7.10.2010 00:00:00;4;1;0
14.10.2010 00:00:00;4;1;0
21.10.2010 00:00:00;4;1;0
28.10.2010 00:00:00;4;1;0
4.11.2010 00:00:00;4;1;0
11.11.2010 00:00:00;4;1;0
18.11.2010 00:00:00;4;1;0
25.11.2010 00:00:00;4;1;0
2.12.2010 00:00:00;4;1;0
9.12.2010 00:00:00;4;1;0
16.12.2010 00:00:00;4;1;0
23.12.2010 00:00:00;4;1;0
30.12.2010 00:00:00;4;1;0
7.5.2009 00:00:00;5;1;18
14.5.2009 00:00:00;5;1;18
21.5.2009 00:00:00;5;1;17
28.5.2009 00:00:00;5;1;15
4.6.2009 00:00:00;5;1;13
11.6.2009 00:00:00;5;1;13
18.6.2009 00:00:00;5;1;12
25.6.2009 00:00:00;5;1;10
2.7.2009 00:00:00;5;1;13
9.7.2009 00:00:00;5;1;9
16.7.2009 00:00:00;5;1;9
23.7.2009 00:00:00;5;1;10
30.7.2009 00:00:00;5;1;10
6.8.2009 00:00:00;5;1;10
13.8.2009 00:00:00;5;1;11
20.8.2009 00:00:00;5;1;8
27.8.2009 00:00:00;5;1;11
3.9.2009 00:00:00;5;1;8
10.9.2009 00:00:00;5;1;7
17.9.2009 00:00:00;5;1;10
24.9.2009 00:00:00;5;1;7
1.10.2009 00:00:00;5;1;7
8.10.2009 00:00:00;5;1;8
15.10.2009 00:00:00;5;1;7
22.10.2009 00:00:00;5;1;8
29.10.2009 00:00:00;5;1;6
5.11.2009 00:00:00;5;1;6
12.11.2009 00:00:00;5;1;7
19.11.2009 00:00:00;5;1;7
26.11.2009 00:00:00;5;1;7
3.12.2009 00:00:00;5;1;5
10.12.2009 00:00:00;5;1;6
17.12.2009 00:00:00;5;1;5
24.12.2009 00:00:00;5;1;4
31.12.2009 00:00:00;5;1;3
7.1.2010 00:00:00;5;1;4
14.1.2010 00:00:00;5;1;3
21.1.2010 00:00:00;5;1;3
28.1.2010 00:00:00;5;1;3
4.2.2010 00:00:00;5;1;2
11.2.2010 00:00:00;5;1;2
18.2.2010 00:00:00;5;1;2
25.2.2010 00:00:00;5;1;2
4.3.2010 00:00:00;5;1;2
11.3.2010 00:00:00;5;1;1
18.3.2010 00:00:00;5;1;1
25.3.2010 00:00:00;5;1;1
1.4.2010 00:00:00;5;1;1
8.4.2010 00:00:00;5;1;1
15.4.2010 00:00:00;5;1;1
22.4.2010 00:00:00;5;1;1
29.4.2010 00:00:00;5;1;1
6.5.2010 00:00:00;5;1;1
13.5.2010 00:00:00;5;1;1
20.5.2010 00:00:00;5;1;1
27.5.2010 00:00:00;5;1;1
3.6.2010 00:00:00;5;1;0
10.6.2010 00:00:00;5;1;0
17.6.2010 00:00:00;5;1;0
24.6.2010 00:00:00;5;1;0
1.7.2010 00:00:00;5;1;0
8.7.2010 00:00:00;5;1;0
15.7.2010 00:00:00;5;1;0
22.7.2010 00:00:00;5;1;0
29.7.2010 00:00:00;5;1;0
5.8.2010 00:00:00;5;1;0
12.8.2010 00:00:00;5;1;0
19.8.2010 00:00:00;5;1;0
26.8.2010 00:00:00;5;1;0
2.9.2010 00:00:00;5;1;0
9.9.2010 00:00:00;5;1;0
16.9.2010 00:00:00;5;1;0
23.9.2010 00:00:00;5;1;0
30.9.2010 00:00:00;5;1;0
7.10.2010 00:00:00;5;1;0
14.10.2010 00:00:00;5;1;0
21.10.2010 00:00:00;5;1;0
28.10.2010 00:00:00;5;1;0
4.11.2010 00:00:00;5;1;0
11.11.2010 00:00:00;5;1;0
18.11.2010 00:00:00;5;1;0
25.11.2010 00:00:00;5;1;0
2.12.2010 00:00:00;5;1;0
9.12.2010 00:00:00;5;1;0
16.12.2010 00:00:00;5;1;0
23.12.2010 00:00:00;5;1;0
30.12.2010 00:00:00;5;1;0
7.5.2009 00:00:00;6;1;27
14.5.2009 00:00:00;6;1;37
21.5.2009 00:00:00;6;1;33
28.5.2009 00:00:00;6;1;36
4.6.2009 00:00:00;6;1;21
11.6.2009 00:00:00;6;1;20
18.6.2009 00:00:00;6;1;21
25.6.2009 00:00:00;6;1;19
2.7.2009 00:00:00;6;1;21
9.7.2009 00:00:00;6;1;25
16.7.2009 00:00:00;6;1;19
23.7.2009 00:00:00;6;1;23
30.7.2009 00:00:00;6;1;23
6.8.2009 00:00:00;6;1;17
13.8.2009 00:00:00;6;1;22
20.8.2009 00:00:00;6;1;21
27.8.2009 00:00:00;6;1;16
3.9.2009 00:00:00;6;1;15
10.9.2009 00:00:00;6;1;18
17.9.2009 00:00:00;6;1;14
24.9.2009 00:00:00;6;1;17
1.10.2009 00:00:00;6;1;16
8.10.2009 00:00:00;6;1;18
15.10.2009 00:00:00;6;1;13
22.10.2009 00:00:00;6;1;13
29.10.2009 00:00:00;6;1;14
5.11.2009 00:00:00;6;1;12
12.11.2009 00:00:00;6;1;12
19.11.2009 00:00:00;6;1;10
26.11.2009 00:00:00;6;1;10
3.12.2009 00:00:00;6;1;13
10.12.2009 00:00:00;6;1;11
17.12.2009 00:00:00;6;1;9
24.12.2009 00:00:00;6;1;8
31.12.2009 00:00:00;6;1;7
7.1.2010 00:00:00;6;1;8
14.1.2010 00:00:00;6;1;6
21.1.2010 00:00:00;6;1;6
28.1.2010 00:00:00;6;1;5
4.2.2010 00:00:00;6;1;4
11.2.2010 00:00:00;6;1;4
18.2.2010 00:00:00;6;1;3
25.2.2010 00:00:00;6;1;3
4.3.2010 00:00:00;6;1;3
11.3.2010 00:00:00;6;1;3
18.3.2010 00:00:00;6;1;2
25.3.2010 00:00:00;6;1;2
1.4.2010 00:00:00;6;1;2
8.4.2010 00:00:00;6;1;2
15.4.2010 00:00:00;6;1;2
22.4.2010 00:00:00;6;1;2
29.4.2010 00:00:00;6;1;1
6.5.2010 00:00:00;6;1;1
13.5.2010 00:00:00;6;1;1
20.5.2010 00:00:00;6;1;1
27.5.2010 00:00:00;6;1;1
3.6.2010 00:00:00;6;1;1
10.6.2010 00:00:00;6;1;1
17.6.2010 00:00:00;6;1;1
24.6.2010 00:00:00;6;1;1
1.7.2010 00:00:00;6;1;1
8.7.2010 00:00:00;6;1;0
15.7.2010 00:00:00;6;1;1
22.7.2010 00:00:00;6;1;0
29.7.2010 00:00:00;6;1;0
5.8.2010 00:00:00;6;1;0
12.8.2010 00:00:00;6;1;0
19.8.2010 00:00:00;6;1;0
26.8.2010 00:00:00;6;1;0
2.9.2010 00:00:00;6;1;0
9.9.2010 00:00:00;6;1;0
16.9.2010 00:00:00;6;1;0
23.9.2010 00:00:00;6;1;0
30.9.2010 00:00:00;6;1;0
7.10.2010 00:00:00;6;1;0
14.10.2010 00:00:00;6;1;0
21.10.2010 00:00:00;6;1;0
28.10.2010 00:00:00;6;1;0
4.11.2010 00:00:00;6;1;0
11.11.2010 00:00:00;6;1;0
18.11.2010 00:00:00;6;1;0
25.11.2010 00:00:00;6;1;0
2.12.2010 00:00:00;6;1;0
9.12.2010 00:00:00;6;1;0
16.12.2010 00:00:00;6;1;0
23.12.2010 00:00:00;6;1;0
30.12.2010 00:00:00;6;1;0
7.5.2009 00:00:00;7;1;21
14.5.2009 00:00:00;7;1;20
21.5.2009 00:00:00;7;1;17
28.5.2009 00:00:00;7;1;16
4.6.2009 00:00:00;7;1;17
11.6.2009 00:00:00;7;1;15
18.6.2009 00:00:00;7;1;15
25.6.2009 00:00:00;7;1;12
2.7.2009 00:00:00;7;1;11
9.7.2009 00:00:00;7;1;16
16.7.2009 00:00:00;7;1;12
23.7.2009 00:00:00;7;1;15
30.7.2009 00:00:00;7;1;12
6.8.2009 00:00:00;7;1;11
13.8.2009 00:00:00;7;1;11
20.8.2009 00:00:00;7;1;13
27.8.2009 00:00:00;7;1;13
3.9.2009 00:00:00;7;1;10
10.9.2009 00:00:00;7;1;10
17.9.2009 00:00:00;7;1;12
24.9.2009 00:00:00;7;1;11
1.10.2009 00:00:00;7;1;9
8.10.2009 00:00:00;7;1;10
15.10.2009 00:00:00;7;1;8
22.10.2009 00:00:00;7;1;10
29.10.2009 00:00:00;7;1;8
5.11.2009 00:00:00;7;1;7
12.11.2009 00:00:00;7;1;7
19.11.2009 00:00:00;7;1;8
26.11.2009 00:00:00;7;1;7
3.12.2009 00:00:00;7;1;7
10.12.2009 00:00:00;7;1;7
17.12.2009 00:00:00;7;1;6
24.12.2009 00:00:00;7;1;4
31.12.2009 00:00:00;7;1;4
7.1.2010 00:00:00;7;1;4
14.1.2010 00:00:00;7;1;3
21.1.2010 00:00:00;7;1;4
28.1.2010 00:00:00;7;1;3
4.2.2010 00:00:00;7;1;3
11.2.2010 00:00:00;7;1;3
18.2.2010 00:00:00;7;1;2
25.2.2010 00:00:00;7;1;2
4.3.2010 00:00:00;7;1;2
11.3.2010 00:00:00;7;1;2
18.3.2010 00:00:00;7;1;1
25.3.2010 00:00:00;7;1;1
1.4.2010 00:00:00;7;1;1
8.4.2010 00:00:00;7;1;1
15.4.2010 00:00:00;7;1;1
22.4.2010 00:00:00;7;1;1
29.4.2010 00:00:00;7;1;1
6.5.2010 00:00:00;7;1;1
13.5.2010 00:00:00;7;1;1
20.5.2010 00:00:00;7;1;1
27.5.2010 00:00:00;7;1;0
3.6.2010 00:00:00;7;1;0
10.6.2010 00:00:00;7;1;1
17.6.2010 00:00:00;7;1;0
24.6.2010 00:00:00;7;1;0
1.7.2010 00:00:00;7;1;0
8.7.2010 00:00:00;7;1;0
15.7.2010 00:00:00;7;1;0
22.7.2010 00:00:00;7;1;0
29.7.2010 00:00:00;7;1;0
5.8.2010 00:00:00;7;1;0
12.8.2010 00:00:00;7;1;0
19.8.2010 00:00:00;7;1;0
26.8.2010 00:00:00;7;1;0
2.9.2010 00:00:00;7;1;0
9.9.2010 00:00:00;7;1;0
16.9.2010 00:00:00;7;1;0
23.9.2010 00:00:00;7;1;0
30.9.2010 00:00:00;7;1;0
7.10.2010 00:00:00;7;1;0
14.10.2010 00:00:00;7;1;0
21.10.2010 00:00:00;7;1;0
28.10.2010 00:00:00;7;1;0
4.11.2010 00:00:00;7;1;0
11.11.2010 00:00:00;7;1;0
18.11.2010 00:00:00;7;1;0
25.11.2010 00:00:00;7;1;0
2.12.2010 00:00:00;7;1;0
9.12.2010 00:00:00;7;1;0
16.12.2010 00:00:00;7;1;0
23.12.2010 00:00:00;7;1;0
30.12.2010 00:00:00;7;1;0
7.5.2009 00:00:00;8;1;38
14.5.2009 00:00:00;8;1;34
21.5.2009 00:00:00;8;1;29
28.5.2009 00:00:00;8;1;37
4.6.2009 00:00:00;8;1;23
11.6.2009 00:00:00;8;1;29
18.6.2009 00:00:00;8;1;24
25.6.2009 00:00:00;8;1;22
2.7.2009 00:00:00;8;1;27
9.7.2009 00:00:00;8;1;25
16.7.2009 00:00:00;8;1;25
23.7.2009 00:00:00;8;1;27
30.7.2009 00:00:00;8;1;27
6.8.2009 00:00:00;8;1;20
13.8.2009 00:00:00;8;1;19
20.8.2009 00:00:00;8;1;23
27.8.2009 00:00:00;8;1;23
3.9.2009 00:00:00;8;1;19
10.9.2009 00:00:00;8;1;22
17.9.2009 00:00:00;8;1;21
24.9.2009 00:00:00;8;1;18
1.10.2009 00:00:00;8;1;19
8.10.2009 00:00:00;8;1;16
15.10.2009 00:00:00;8;1;17
22.10.2009 00:00:00;8;1;16
29.10.2009 00:00:00;8;1;16
5.11.2009 00:00:00;8;1;17
12.11.2009 00:00:00;8;1;14
19.11.2009 00:00:00;8;1;13
26.11.2009 00:00:00;8;1;16
3.12.2009 00:00:00;8;1;11
10.12.2009 00:00:00;8;1;10
17.12.2009 00:00:00;8;1;9
24.12.2009 00:00:00;8;1;8
31.12.2009 00:00:00;8;1;7
7.1.2010 00:00:00;8;1;8
14.1.2010 00:00:00;8;1;8
21.1.2010 00:00:00;8;1;6
28.1.2010 00:00:00;8;1;5
4.2.2010 00:00:00;8;1;6
11.2.2010 00:00:00;8;1;4
18.2.2010 00:00:00;8;1;5
25.2.2010 00:00:00;8;1;4
4.3.2010 00:00:00;8;1;3
11.3.2010 00:00:00;8;1;4
18.3.2010 00:00:00;8;1;3
25.3.2010 00:00:00;8;1;3
1.4.2010 00:00:00;8;1;3
8.4.2010 00:00:00;8;1;2
15.4.2010 00:00:00;8;1;2
22.4.2010 00:00:00;8;1;2
29.4.2010 00:00:00;8;1;2
6.5.2010 00:00:00;8;1;1
13.5.2010 00:00:00;8;1;1
20.5.2010 00:00:00;8;1;1
27.5.2010 00:00:00;8;1;1
3.6.2010 00:00:00;8;1;1
10.6.2010 00:00:00;8;1;1
17.6.2010 00:00:00;8;1;1
24.6.2010 00:00:00;8;1;1
1.7.2010 00:00:00;8;1;1
8.7.2010 00:00:00;8;1;1
15.7.2010 00:00:00;8;1;1
22.7.2010 00:00:00;8;1;0
29.7.2010 00:00:00;8;1;0
5.8.2010 00:00:00;8;1;0
12.8.2010 00:00:00;8;1;0
19.8.2010 00:00:00;8;1;0
26.8.2010 00:00:00;8;1;0
2.9.2010 00:00:00;8;1;0
9.9.2010 00:00:00;8;1;0
16.9.2010 00:00:00;8;1;0
23.9.2010 00:00:00;8;1;0
30.9.2010 00:00:00;8;1;0
7.10.2010 00:00:00;8;1;0
14.10.2010 00:00:00;8;1;0
21.10.2010 00:00:00;8;1;0
28.10.2010 00:00:00;8;1;0
4.11.2010 00:00:00;8;1;0
11.11.2010 00:00:00;8;1;0
18.11.2010 00:00:00;8;1;0
25.11.2010 00:00:00;8;1;0
2.12.2010 00:00:00;8;1;0
9.12.2010 00:00:00;8;1;0
16.12.2010 00:00:00;8;1;0
23.12.2010 00:00:00;8;1;0
30.12.2010 00:00:00;8;1;0
1.1.2009 00:00:00;1;2;55
8.1.2009 00:00:00;1;2;45
15.1.2009 00:00:00;1;2;51
22.1.2009 00:00:00;1;2;50
29.1.2009 00:00:00;1;2;32
5.2.2009 00:00:00;1;2;31
12.2.2009 00:00:00;1;2;37
19.2.2009 00:00:00;1;2;40
26.2.2009 00:00:00;1;2;37
5.3.2009 00:00:00;1;2;33
12.3.2009 00:00:00;1;2;30
19.3.2009 00:00:00;1;2;28
26.3.2009 00:00:00;1;2;33
2.4.2009 00:00:00;1;2;26
9.4.2009 00:00:00;1;2;31
16.4.2009 00:00:00;1;2;29
23.4.2009 00:00:00;1;2;24
30.4.2009 00:00:00;1;2;31
7.5.2009 00:00:00;1;2;29
14.5.2009 00:00:00;1;2;27
21.5.2009 00:00:00;1;2;20
28.5.2009 00:00:00;1;2;23
4.6.2009 00:00:00;1;2;19
11.6.2009 00:00:00;1;2;23
18.6.2009 00:00:00;1;2;24
25.6.2009 00:00:00;1;2;20
2.7.2009 00:00:00;1;2;16
9.7.2009 00:00:00;1;2;19
16.7.2009 00:00:00;1;2;19
23.7.2009 00:00:00;1;2;21
30.7.2009 00:00:00;1;2;15
6.8.2009 00:00:00;1;2;14
13.8.2009 00:00:00;1;2;14
20.8.2009 00:00:00;1;2;12
27.8.2009 00:00:00;1;2;11
3.9.2009 00:00:00;1;2;11
10.9.2009 00:00:00;1;2;10
17.9.2009 00:00:00;1;2;7
